"","logFC","logCPM","PValue","FDR"
"YDR448W",0.128349195309755,4.94007048651659,0.566289452744162,0.627595934048924
"YHR105W",0.203055707169216,4.00561742135617,0.566975832869656,0.628238951889468
"YIL154C",-0.0365616895055621,8.27874307309438,0.568262853591659,0.629508721718396
"YEL075C",0.773793428318328,1.63660575910528,0.568334559983044,0.629508721718396
"YOR101W",0.0874053320179475,6.10635467799067,0.569680927892939,0.63088191097558
"YJL043W",-0.355091982614874,2.85943892960341,0.570111205316553,0.631240269808766
"YBR022W",0.168053428043208,4.59047965013457,0.570627691363958,0.631693928868202
"YGR082W",-0.0663042848965151,6.68014965157763,0.57084373661595,0.631814887683609
"YPR201W",0.271002557418326,3.40903635425417,0.573144445455612,0.634242693802292
"YEL009C",0.0220501251424089,9.74786404824861,0.57401136290799,0.634955978707619
"YBL021C",0.113595336634483,5.39992227675068,0.574021654682135,0.634955978707619
"YBR121C",-0.0310031291147641,9.002964400634,0.57411094914412,0.634955978707619
"YOL056W",0.0953201433976173,5.7022611233165,0.574704765633818,0.635493944730948
"YBL071W-A",0.269677440540758,3.46086944506017,0.575008598611388,0.635711113225633
"YBR242W",0.115667411979225,5.18572132930007,0.575460389927016,0.636091748028797
"YNL181W",0.0947539992138502,5.89033167070491,0.57571742664172,0.636257006619174
"YFR044C",0.0391040598793166,8.21614630661972,0.576642335297555,0.637072161078274
"YNL062C",-0.178845414515775,4.4531562886989,0.576670355709859,0.637072161078274
"YGR147C",-0.0752355480380404,6.62633878070154,0.576781512052904,0.637076013966218
"YBR252W",-0.101395907565123,5.99215061039157,0.577681636231599,0.63795114624531
"YML125C",0.0552326939402525,7.45691651260777,0.57847182901065,0.638704574035458
"YOR201C",0.0743730537859804,6.48772213505054,0.58240428397571,0.642926520202291
"YDR361C",-0.100561916820329,5.4360291745672,0.582634513552264,0.64306070074403
"YDR471W",-0.025942749812696,9.23139723529074,0.58394017561684,0.644381577606274
"YBL100W-B",-0.209522729068475,4.52002232492432,0.584592148745686,0.644980746620963
"YLR168C",0.153417396945526,4.73080187049186,0.585197340701492,0.645528088167548
"YJL065C",-0.118285951518947,5.5838772768775,0.585903762217019,0.646186870650158
"YNL311C",-0.11759927708733,5.17129187903571,0.5863595002744,0.646568983064411
"YNL037C",0.0357105816944309,8.4799631373035,0.587982824710529,0.648171601960429
"YNR057C",0.207226647239776,4.13884059011997,0.588031968788843,0.648171601960429
"YMR132C",0.312139522547434,3.20122794022766,0.588148073994445,0.648178832897212
"YHL017W",0.0721330454383869,6.57061142504073,0.590133317291684,0.65024559374579
"YOR347C",-0.051970536174459,7.35651709286702,0.590323469899216,0.650334010685843
"YNL151C",0.074107059266981,6.45827648334294,0.591817764883077,0.651748614003611
"YOL011W",0.106947954704294,5.70933514674587,0.591827835565557,0.651748614003611
"YCL026C-A",0.384672625670534,2.40916231815664,0.592182157818396,0.652017459585309
"YOL128C",0.337056849720345,2.858907478958,0.592802713873515,0.652481439658697
"YNL216W",0.0802402954697958,6.07906424392613,0.592824103364062,0.652481439658697
"YDL248W",-0.141040644284487,5.22240928501831,0.594294257928179,0.653941836987125
"YER094C",-0.0316693283518681,8.54226590748834,0.594372012728876,0.653941836987125
"YMR030W-A",0.534353642613524,1.75211045050138,0.59454449068172,0.654009992817203
"YDL150W",0.0918099390061831,5.76887244907789,0.594663784712002,0.654019630881211
"YOR253W",-0.0895892233826186,5.72481507169186,0.595004779300758,0.654273049455972
"YOR394C-A",0.534125718990493,1.75211328695528,0.595494335117347,0.654635934085637
"YAL046C",-0.123876123587492,4.95313947832365,0.595556064421663,0.654635934085637
"YDL033C",-0.180410649332616,4.1711328601616,0.596190939630997,0.655212070913189
"YKR059W",0.0330275560708213,9.54933370346018,0.597158467362004,0.656112967948809
"YDR239C",0.124859026841879,5.00551123755356,0.597232456544243,0.656112967948809
"YEL007W",0.0586346013083594,6.95181317085731,0.598536969501271,0.657424029801192
"YCR037C",0.0764269287802665,6.55679387777718,0.599286750930754,0.65812540929051
"YLR244C",-0.0457912404040501,7.68671977556371,0.600161237396705,0.658963451786287
"YDL168W",-0.0663849410629387,6.61674585287638,0.600324819781351,0.65902077154847
"YDR478W",0.316527730326259,3.13896641241932,0.600566590574774,0.659163887299376
"YJR143C",0.0384251729242145,7.96293432073235,0.601638798829724,0.660218244190556
"YJR125C",-0.0468782090845406,7.49155267398791,0.601858102168596,0.660336434365211
"YHR148W",-0.194323405201992,3.91013815905295,0.602696910902151,0.661134153097521
"YKL070W",0.167874835678505,4.05147634317939,0.603073878223726,0.661425048646856
"YJR066W",0.0658997147177505,6.82571579138657,0.60757211756441,0.666235029582768
"YPR158W-B",-0.193675217297283,5.34748324548683,0.609212325110703,0.667909825399302
"YPR113W",-0.034721953558891,8.13562292127828,0.611228770931048,0.669996413041684
"YHR047C",0.06637055439067,6.80748478772823,0.611425988782238,0.670038095173731
"YGL096W",0.174632578324592,4.18071793814539,0.611493275973998,0.670038095173731
